epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,63.5534,0.76867,1.9604,1.83177,1.19854,0.94377,0.85069,0.94009,0.68768,0.94377,0.85069,0.94009,0.60898,0.96568,1.27999,1.27941,1.4441,0.0002327,0.0002327,0.0002327
56,64.8238,0.73067,1.76966,1.74202,1.17152,0.9505,0.85069,0.93737,0.68657,0.9505,0.85069,0.93737,0.60442,0.98259,1.27714,1.27068,1.43776,0.00022775,0.00022775,0.00022775
57,66.1643,0.72467,1.74748,1.73141,1.18724,0.94541,0.85069,0.94304,0.6894,0.94541,0.85069,0.94304,0.60864,0.98206,1.26971,1.27156,1.44429,0.0002228,0.0002228,0.0002228
58,67.1135,0.78851,1.86684,1.77469,1.23045,0.95596,0.85069,0.94176,0.6984,0.95596,0.85069,0.94176,0.59809,0.9897,1.26776,1.25783,1.44332,0.00021785,0.00021785,0.00021785
59,68.5996,0.73806,1.74776,1.79175,1.21313,0.95591,0.81944,0.94214,0.69513,0.95591,0.81944,0.94214,0.60581,0.97916,1.25631,1.2436,1.4381,0.0002129,0.0002129,0.0002129
60,69.5169,0.74286,1.73822,1.7357,1.19196,0.95994,0.8286,0.94464,0.69401,0.95994,0.8286,0.94464,0.61158,0.9756,1.24928,1.22154,1.43919,0.00020795,0.00020795,0.00020795
61,70.8917,0.76333,1.74267,1.72863,1.18855,0.86121,0.86182,0.92772,0.68743,0.86121,0.86182,0.92772,0.60602,0.97785,1.24374,1.2038,1.43455,0.000203,0.000203,0.000203
62,72.2637,0.74045,1.83736,1.70143,1.1831,0.83864,0.86498,0.92556,0.68563,0.83864,0.86498,0.92556,0.59818,0.97635,1.22859,1.2131,1.42646,0.00019805,0.00019805,0.00019805
63,73.4831,0.74954,1.77232,1.72586,1.17284,0.83864,0.86498,0.92556,0.68563,0.83864,0.86498,0.92556,0.59818,0.97635,1.22859,1.2131,1.42646,0.0001931,0.0001931,0.0001931
64,74.8196,0.68178,1.66698,1.63253,1.14091,0.83735,0.86168,0.92086,0.68925,0.83735,0.86168,0.92086,0.59735,0.97315,1.22241,1.19279,1.42489,0.00018815,0.00018815,0.00018815
65,75.7888,0.72523,1.61677,1.60985,1.13018,0.86366,0.85069,0.92868,0.68772,0.86366,0.85069,0.92868,0.60233,0.98231,1.21242,1.1803,1.42964,0.0001832,0.0001832,0.0001832
66,77.2786,0.67038,1.64118,1.60636,1.1377,0.88869,0.85657,0.92968,0.689,0.88869,0.85657,0.92968,0.60574,0.96417,1.20044,1.16877,1.41756,0.00017825,0.00017825,0.00017825
